study_word,t_word,reference,old_new,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
lyrics,,,,0,0,0,13,,,,,0.09765970008447766,,0.04934240016154945,0.09765970008447766,0.09765970008447766,8.09725570003502,11.017725200159475,1,10.945860299980268,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
keys,,,,0,1,1,5,,,,,11.079644300043583,,11.05272309994325,11.079644300043583,11.079644300043583,,12.151038800133392,1,1.0762861999683082,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
drums,,,,0,2,2,6,,,,,12.179447100032121,,12.151249200105667,12.179447100032121,12.179447100032121,,13.017522000009194,1,0.8441099999472499,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
poetry,,,,0,3,3,12,,,,,13.045975400134921,,13.017730500083417,13.045975400134921,13.045975400134921,,13.68455190001987,1,0.6440695999190211,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
guitar,,,,0,4,4,8,,,,,13.71264070016332,,13.684764900011942,13.71264070016332,13.71264070016332,,14.217696000123397,1,0.5102917000185698,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
card,,,,0,5,5,7,,,,,14.24565579998307,,14.217905499972403,14.24565579998307,14.24565579998307,,14.684093600139022,1,0.44596699997782707,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
right,,,,0,6,6,14,,,,,14.71258100005798,,14.684304400114343,14.71258100005798,14.71258100005798,,15.150661800056696,1,0.4448033000808209,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
cable,,,,0,7,7,10,,,,,15.179185600019991,,15.150875499937683,15.179185600019991,15.179185600019991,,15.616912700003013,1,0.4455489998217672,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
tiger,,,,0,8,8,1,,,,,15.645826200023293,,15.617126200115308,15.645826200023293,15.645826200023293,,15.950422400142998,1,0.3129923001397401,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
vase,,,,0,9,9,0,,,,,15.979073600145057,,15.950636100023985,15.979073600145057,15.979073600145057,,16.333494700025767,1,0.36156359990127385,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
piano,,,,0,10,10,4,,,,,16.362330100033432,,16.33371020015329,16.362330100033432,16.362330100033432,,16.650656800018623,1,0.29517729999497533,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
cushion,,,,0,11,11,3,,,,,16.67898550000973,,16.650864999974146,16.67898550000973,16.67898550000973,,17.300399800064042,1,0.6291284000035375,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
drip,,,,0,12,12,11,,,,,17.328796999994665,,17.300614000065252,17.328796999994665,17.328796999994665,,18.01698420010507,1,0.6962891998700798,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
love,,,,0,13,13,9,,,,,18.045337999938056,,18.01719280006364,18.045337999938056,18.045337999938056,,18.766764800064266,1,0.7289851999375969,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
book,,,,0,14,14,2,,,,,18.795284599997103,,18.76697440003045,18.795284599997103,18.795284599997103,,19.28308630012907,1,0.49574650009162724,,,,,,,,,,,,,,,PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,r__ht,right,old,,,,,0,0,0,14,19.31206910009496,,,,,,,,,19.2881953001488,19.31206910009496,19.31206910009496,19.31206910009496,0.007654599845409393,24.497451200149953,RIGHT,[0.055],[-0.29833333333333334],[1],[0],[0],[5.206113899825141],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,ov,love,old,,,,,0,1,1,9,24.511916700052097,,,,,,,,,24.4981271000579,24.511916700052097,24.511916700052097,24.511916700052097,0.0017241998575627804,28.497440200066194,love,[0.055],[-0.29833333333333334],[1],[0],[0],[3.9972031998913735],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,c_s_h_o_n,cushion,old,,,,,0,2,2,3,28.511363400146365,,,,,,,,,28.497871699975803,28.511363400146365,28.511363400146365,28.511363400146365,0.001798700075596571,32.530065400060266,cushion,[0.055],[-0.29833333333333334],[1],[0],[0],[4.030072499997914],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,k_y_,keys,old,,,,,0,3,3,5,32.544138400116935,,,,,,,,,32.530493800062686,32.544138400116935,32.544138400116935,32.544138400116935,0.0016928999684751034,35.629813600098714,keys,[0.055],[-0.29833333333333334],[1],[0],[0],[3.0972357999999076],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,_a_e,vase,old,,,,,0,4,4,0,35.64360180008225,,,,,,,,,35.6302426001057,35.64360180008225,35.64360180008225,35.64360180008225,0.001684300135821104,42.51258830004372,cable,[0.055],[-0.29833333333333334],[1],[0],[0],[6.880287199979648],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
,dr__,draw,new,,,,,0,5,5,17,42.79216940002516,,,,,,,,,42.51301670004614,42.79216940002516,42.79216940002516,42.79216940002516,0.2661583998706192,49.544816200155765,drip,[0.055],[-0.29833333333333334],[1],[0],[0],[6.765272699994966],['text_3'],PAR_FINAL2,001,2024-11-07_15h20.10.724,Word Priming,2024.1.5,None,2024-11-07 15h20.40.241487 +0530,
