study_word,t_word,reference,old_new,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,,,,0,0,0,4,,,,,0.05671019991859794,,0.013824600027874112,0.05671019991859794,0.05671019991859794,6.844529900001362,1,6.808445200091228,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
book,,,,0,1,1,2,,,,,6.872871600091457,,6.844840100035071,6.872871600091457,6.872871600091457,7.627534199971706,1,0.7617031999398023,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
vase,,,,0,2,2,0,,,,,7.656058700056747,,7.6277463000733405,7.656058700056747,7.656058700056747,8.011252399999648,1,0.3611077999230474,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
lyrics,,,,0,3,3,13,,,,,8.039280999917537,,8.01146709988825,8.039280999917537,8.039280999917537,8.56067269993946,1,0.5267846998758614,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
drums,,,,0,4,4,6,,,,,8.589111200068146,,8.560886099934578,8.589111200068146,8.589111200068146,8.994053599890321,1,0.4113942999392748,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
cable,,,,0,5,5,10,,,,,9.02258069999516,,8.994271599920467,9.02258069999516,9.02258069999516,9.46081730001606,1,0.44561309996061027,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
right,,,,0,6,6,14,,,,,9.48908680002205,,9.46103290002793,9.48908680002205,9.48908680002205,9.87724360008724,1,0.3941148000303656,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
card,,,,0,7,7,7,,,,,9.905594900017604,,9.877621199935675,9.905594900017604,9.905594900017604,10.27721540001221,1,0.3783644998911768,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
love,,,,0,8,8,9,,,,,10.30558849987574,,10.277425700100139,10.30558849987574,10.30558849987574,10.676941900048405,1,0.3791309001389891,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
drip,,,,0,9,9,11,,,,,10.70565850008279,,10.677152399905026,10.70565850008279,10.70565850008279,11.093867300078273,1,0.39763509994372725,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
cushion,,,,0,10,10,3,,,,,11.121871300041676,,11.0940795999486,11.121871300041676,11.121871300041676,11.57694140006788,1,0.46235269983299077,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
poetry,,,,0,11,11,12,,,,,11.605540700023994,,11.57715389993973,11.605540700023994,11.605540700023994,12.026600199984387,1,0.4290376999415457,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
guitar,,,,0,12,12,8,,,,,12.055452900007367,,12.026813399977982,12.055452900007367,12.055452900007367,12.476944599999115,1,0.4293545999098569,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
keys,,,,0,13,13,5,,,,,12.505220799939707,,12.47716880007647,12.505220799939707,12.505220799939707,12.876604000106454,1,0.37880790000781417,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
tiger,,,,0,14,14,1,,,,,12.905314000090584,,12.876815299969167,12.905314000090584,12.905314000090584,13.243798699928448,1,0.34608429996296763,,,,,,,,,,,,,,,PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,r__e,ride,new,,,,,0,0,0,18,13.273337800055742,,,,,,,,13.248858199920505,13.273337800055742,13.273337800055742,13.273337800055742,0.007337599992752075,16.64173460006714,ROPE,[-0.15166666666666667],[-0.28833333333333333],[1],[0],[0],[3.390058899996802],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,lyr___,lyrics,old,,,,,0,1,1,13,16.655698499875143,,,,,,,,16.642413900000975,16.655698499875143,16.655698499875143,16.655698499875143,0.001736300066113472,20.49094090005383,lyrics,[-0.15166666666666667],[-0.28833333333333333],[1],[0],[0],[3.8463286999613047],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,t_g_r,tiger,old,,,,,0,2,2,1,20.504718400072306,,,,,,,,20.491399799939245,20.504718400072306,20.504718400072306,20.504718400072306,0.0016937002073973417,24.273844300070778,tiger,[-0.15166666666666667],[-0.28833333333333333],[1],[0],[0],[3.780423999996856],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,r__ht,right,old,,,,,0,3,3,14,24.287744499975815,,,,,,,,24.274280000012368,24.287744499975815,24.287744499975815,24.287744499975815,0.0016916999593377113,29.20728509989567,right,[0.085],[-0.30333333333333334],[1],[0],[0],[4.930907899979502],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,__rd,card,old,,,,,0,4,4,7,29.220531499944627,,,,,,,,29.20771689992398,29.220531499944627,29.220531499944627,29.220531499944627,0.0016894000582396984,32.55651669995859,card,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[3.346715599996969],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,dr__,drip,old,,,,,0,5,5,11,32.57024149992503,,,,,,,,32.55695130000822,32.57024149992503,32.57024149992503,32.57024149992503,0.0015680999495089054,35.53884240007028,drip,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[2.9800042000133544],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,po___ry,poetry,old,,,,,0,6,6,12,35.553223399911076,,,,,,,,35.539281100034714,35.553223399911076,35.553223399911076,35.553223399911076,0.0017055000644177198,38.88856290001422,poetry,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[3.347234300104901],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,r__ch,reach,new,,,,,0,7,7,16,38.90251909988001,,,,,,,,38.889002999989316,38.90251909988001,38.90251909988001,38.90251909988001,0.0016787000931799412,45.20440010004677,breach,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[6.313360300147906],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,_a_e,vase,old,,,,,0,8,8,0,45.218541600042954,,,,,,,,45.20484029990621,45.218541600042954,45.218541600042954,45.218541600042954,0.0015804998110979795,54.18660410004668,rade,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[8.979790499899536],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,ia_n,piano,old,,,,,0,9,9,4,54.20068229991011,,,,,,,,54.187044200021774,54.20068229991011,54.20068229991011,54.20068229991011,0.0016145999543368816,64.20102240005508,,[],[],[],[],[],[],[],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,c_s_h_o_n,cushion,old,,,,,0,10,10,3,64.21589170000516,,,,,,,,64.20141980005428,64.21589170000516,64.21589170000516,64.21589170000516,0.01613439992070198,68.93471570010297,cushion,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[4.731041399994865],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
,r__e,rope,new,,,,,0,11,11,15,68.94863600004464,,,,,,,,68.93515280005522,68.94863600004464,68.94863600004464,68.94863600004464,0.0015792001504451036,72.91779009997845,rape,[-0.021666666666666667],[-0.30666666666666664],[1],[0],[0],[3.9806390998419374],['text_3'],PAR_FINAL3,001,2024-11-07_15h23.17.825,Word Priming,2024.1.5,None,2024-11-07 15h23.29.085624 +0530,
