study_word,t_word,reference,old_new,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
vase,,,,0,0,0,0,,,,,0.05686539993621409,,0.013587299967184663,0.05686539993621409,0.05686539993621409,2.3948102998547256,1.0666666666666667,2.3588849001098424,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
right,,,,0,1,1,14,,,,,2.4226840999908745,,2.39512429991737,2.4226840999908745,2.4226840999908745,3.444789099972695,1.0666666666666667,1.0272152000106871,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
guitar,,,,0,2,2,8,,,,,3.4725675000809133,,3.444999299943447,3.4725675000809133,3.4725675000809133,5.727677699876949,1.0,2.262139900121838,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
drip,,,,0,3,3,11,,,,,5.755686099873856,,5.727887300075963,5.755686099873856,5.755686099873856,7.52740989997983,3.066666666666667,1.7776598001364619,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
love,,,,0,4,4,9,,,,,7.555609300034121,,7.527622000081465,7.555609300034121,7.555609300034121,8.894013300072402,1.02,1.3460323999170214,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
book,,,,0,5,5,2,,,,,8.921751099871472,,8.894228899851441,8.921751099871472,8.921751099871472,9.493579499889165,1.02,0.5789348999969661,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
piano,,,,0,6,6,4,,,,,9.52228319994174,,9.493791499873623,9.52228319994174,9.52228319994174,10.243606599979103,1.02,0.7281595999374986,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
keys,,,,0,7,7,5,,,,,10.271580999949947,,10.243815700057894,10.271580999949947,10.271580999949947,11.12685210001655,1.02,0.861126999836415,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
drums,,,,0,8,8,6,,,,,11.154868700075895,,11.12706570001319,11.154868700075895,11.154868700075895,11.843526199925691,1.02,0.6960235000588,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
lyrics,,,,0,9,9,13,,,,,11.87161529995501,,11.843734599882737,11.87161529995501,11.87161529995501,12.526933999964967,1.02,0.6620718999765813,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
cushion,,,,0,10,10,3,,,,,12.555122999940068,,12.52714250003919,12.555122999940068,12.555122999940068,13.210262599866837,1.02,0.6626919999253005,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
cable,,,,0,11,11,10,,,,,13.23822749988176,,13.210476899985224,13.23822749988176,13.23822749988176,13.893304500030354,1.02,0.6624350000638515,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
tiger,,,,0,12,12,1,,,,,13.921903599984944,,13.89351679990068,13.921903599984944,13.921903599984944,15.026213000062853,1.02,1.1125075998716056,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
card,,,,0,13,13,7,,,,,15.055269700009376,,15.026423000032082,15.055269700009376,15.055269700009376,16.026091899955645,1.02,0.9792346998583525,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
poetry,,,,0,14,14,12,,,,,16.054411799879745,,16.026305899955332,16.054411799879745,16.054411799879745,16.82619719998911,1.02,0.7791250001173466,,,,,,,,,,,,,,,PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
,_abl_,cable,old,,,,,0,0,0,10,16.854281299980357,,,,,,,,16.831142799928784,16.854281299980357,16.854281299980357,16.854281299980357,0.00731210014782846,26.83920559985563,cable,[],[],[],[],[],[],[],PAR_Final,001,2024-11-06_20h57.56.972,Word Priming,2024.1.5,None,2024-11-06 20h58.15.889938 +0530,
